Date,Research Firm,Action,From,To,Ticker
2010-09-13,Standpoint Research,Initiated,,Buy,MSFT
2010-07-23,The Benchmark Company,Upgrade,Sell,Hold,MSFT
2010-05-27,FBR Capital,Upgrade,Mkt Perform,Outperform,MSFT
2010-04-16,Janney Mntgmy Scott,Initiated,,Neutral,MSFT
2010-04-08,Soleil,Initiated,,Buy,MSFT
2010-02-17,Citigroup,Initiated,,Buy,MSFT
2009-11-13,UBS,Initiated,,Buy,MSFT
2009-10-27,Argus,Upgrade,Sell,Hold,MSFT
2009-09-14,Auriga U.S.A,Upgrade,Hold,Buy,MSFT
2009-08-18,AmTech Research,Upgrade,Neutral,Buy,MSFT
2009-07-24,FBR Capital,Downgrade,Outperform,Mkt Perform,MSFT
2009-04-13,AmTech Research,Initiated,,Neutral,MSFT
2009-04-07,RBC Capital Mkts,Upgrade,Sector Perform,Outperform,MSFT
2009-03-31,Davenport,Upgrade,Neutral,Buy,MSFT
2009-03-27,Auriga U.S.A,Initiated,,Hold,MSFT
2009-01-23,Davenport,Downgrade,Buy,Neutral,MSFT
2008-11-21,Oppenheimer,Upgrade,Perform,Outperform,MSFT
2008-11-18,Caris & Company,Initiated,,Average,MSFT
2008-10-16,Canaccord Adams,Downgrade,Buy,Hold,MSFT
2008-07-28,Edward Jones,Upgrade,Hold,Buy,MSFT
2008-07-28,Collins Stewart,Initiated,,Buy,MSFT
2008-07-11,Credit Suisse,Initiated,,Outperform,MSFT
2008-03-06,Cross Research,Initiated,,Hold,MSFT
2008-03-05,Jefferies & Co,Initiated,,Buy,MSFT
2008-03-04,AmTech Research,Initiated,,Buy,MSFT
2008-02-11,RBC Capital Mkts,Downgrade,Outperform,Sector Perform,MSFT
2008-01-31,Stanford Research,Initiated,,Buy,MSFT
2008-01-22,DA Davidson,Upgrade,Neutral,Buy,MSFT
2007-09-06,Deutsche Securities,Initiated,,Buy,MSFT
2007-05-07,Davenport,Downgrade,Buy,Neutral,MSFT
2007-04-27,CIBC Wrld Mkts,Upgrade,Sector Underperform,Sector Perform,MSFT
2007-02-02,Banc of America Sec,Upgrade,Neutral,Buy,MSFT
2007-01-24,DA Davidson,Downgrade,Buy,Neutral,MSFT
2006-11-20,Credit Suisse,Upgrade,Neutral,Outperform,MSFT
2006-08-01,Prudential,Initiated,,Overweight,MSFT
2006-07-28,Canaccord Adams,Upgrade,Hold,Buy,MSFT
2006-06-20,DA Davidson,Initiated,,Buy,MSFT
2006-05-30,Caris & Company,Downgrade,Above Average,Average,MSFT
2006-04-28,Caris & Company,Downgrade,Buy,Above Average,MSFT
2006-04-28,Lehman Brothers,Downgrade,Overweight,Equal-weight,MSFT
2006-04-28,Canaccord Adams,Downgrade,Buy,Hold,MSFT
2006-04-28,CIBC Wrld Mkts,Downgrade,Sector Outperform,Sector Underperform,MSFT
2006-04-28,Morgan Stanley,Downgrade,Overweight,Equal-weight,MSFT
2006-04-25,Citigroup,Initiated,,Hold,MSFT
2006-03-15,RBC Capital Mkts,Initiated,,Outperform,MSFT
2006-01-06,CSFB,Downgrade,Outperform,Neutral,MSFT
2005-12-23,Soleil,Initiated,,Buy,MSFT
2005-10-28,CSFB,Upgrade,Neutral,Outperform,MSFT
2005-05-10,Banc of America Sec,Initiated,,Buy,MSFT
2005-05-04,CSFB,Initiated,,Neutral,MSFT
2004-09-10,AG Edwards,Initiated,,Buy,MSFT
2004-08-03,Caris & Company,Initiated,,Buy,MSFT
2004-06-24,Banc of America Sec,Upgrade,Neutral,Buy,MSFT
2004-06-10,Schwab Soundview,Initiated,,Neutral,MSFT
2004-03-09,Banc of America Sec,Initiated,,Neutral,MSFT
2004-01-05,SG Cowen,Upgrade,Outperform,Strong Buy,MSFT
2003-12-19,JP Morgan,Initiated,,Overweight,MSFT
2003-12-08,Soundview Technology,Upgrade,Neutral,Outperform,MSFT
2003-10-31,Oppenheimer,Initiated,,Buy,MSFT
2003-10-24,RBC Capital Mkts,Downgrade,Outperform,Sector Perform,MSFT
2003-09-26,Prudential,Initiated,,Overweight,MSFT
2003-09-17,Wachovia,Initiated,,Outperform,MSFT
2003-08-25,Smith Barney Citigroup,Initiated,,Outperform,MSFT
2003-07-02,Merrill Lynch,Upgrade,Neutral,Buy,MSFT
2003-05-21,Fulcrum,Upgrade,Neutral,Buy,MSFT
