Date,Open,High,Low,Close,Volume,Adj Close
2007-12-19,6258.40,6266.90,6192.70,6216.40,000,6216.40
2007-12-18,6244.30,6244.30,6105.60,6236.90,000,6236.90
2007-12-17,6469.70,6471.60,6263.50,6263.50,000,6263.50
2007-12-14,6587.20,6595.20,6466.70,6491.70,000,6491.70
2007-12-13,6621.50,6645.40,6556.70,6597.60,000,6597.60
2007-12-12,6654.30,6654.30,6579.90,6615.20,000,6615.20
2007-12-11,6633.90,6684.40,6633.90,6680.40,000,6680.40
2007-12-10,6659.30,6659.30,6608.90,6625.10,000,6625.10
2007-12-07,6612.70,6671.40,6612.00,6654.70,000,6654.70
2007-12-06,6533.70,6618.70,6533.70,6600.90,000,6600.90
2007-12-05,6520.70,6520.70,6482.00,6508.10,000,6508.10
2007-12-04,6517.00,6538.00,6500.40,6530.80,000,6530.80
2007-12-03,6535.20,6562.70,6521.10,6533.50,000,6533.50
2007-11-30,6458.70,6552.90,6436.70,6533.10,000,6533.10
2007-11-29,6397.90,6481.70,6397.90,6444.50,000,6444.50
2007-11-28,6430.30,6433.20,6346.40,6370.10,000,6370.10
2007-11-27,6437.50,6440.10,6349.40,6432.70,000,6432.70
2007-11-26,6361.10,6482.80,6361.10,6471.40,000,6471.40
2007-11-23,6336.60,6344.40,6312.70,6330.20,000,6330.20
2007-11-22,6356.10,6356.10,6312.60,6334.30,000,6334.30
2007-11-21,6438.20,6438.20,6355.70,6384.30,000,6384.30
2007-11-20,6492.50,6492.50,6394.10,6425.40,000,6425.40
2007-11-19,6475.00,6551.90,6475.00,6535.20,000,6535.20
2007-11-16,6527.70,6527.70,6449.90,6461.90,000,6461.90
2007-11-15,6590.20,6616.50,6528.60,6528.60,000,6528.60
2007-11-14,6537.50,6608.20,6536.20,6598.60,000,6598.60
2007-11-13,6452.20,6520.40,6437.30,6515.20,000,6515.20
2007-11-12,6529.50,6555.20,6445.10,6455.30,000,6455.30
2007-11-09,6521.30,6605.10,6520.10,6545.70,000,6545.70
2007-11-08,6638.80,6638.90,6488.50,6521.60,000,6521.60
2007-11-07,6634.40,6701.20,6634.40,6692.40,000,6692.40
2007-11-06,6578.90,6657.80,6578.60,6628.00,000,6628.00
2007-11-05,6703.40,6710.20,6560.40,6582.30,000,6582.30
2007-11-02,6782.20,6782.20,6674.70,6696.60,000,6696.60
2007-11-01,6778.40,6851.50,6777.30,6828.70,000,6828.70
2007-10-31,6731.70,6775.80,6710.80,6754.10,000,6754.10
2007-10-30,6794.50,6794.50,6746.60,6750.20,000,6750.20
2007-10-29,6727.10,6792.10,6726.90,6792.10,000,6792.10
2007-10-26,6640.20,6703.30,6637.20,6700.60,000,6700.60
2007-10-25,6627.80,6674.10,6610.70,6624.30,000,6624.30
2007-10-24,6679.20,6733.40,6634.40,6634.40,000,6634.40
2007-10-23,6572.70,6676.10,6572.70,6660.90,000,6660.90
2007-10-22,6660.80,6662.60,6542.90,6577.30,000,6577.30
2007-10-19,6764.80,6764.90,6684.60,6706.30,000,6706.30
2007-10-18,6697.10,6767.70,6696.10,6767.70,000,6767.70
2007-10-17,6693.60,6724.30,6648.40,6680.10,000,6680.10
2007-10-16,6724.20,6724.80,6651.00,6692.00,000,6692.00
2007-10-15,6761.60,6800.20,6713.40,6739.00,000,6739.00
2007-10-12,6767.40,6770.60,6717.70,6748.90,000,6748.90
2007-10-11,6736.90,6782.50,6710.90,6771.90,000,6771.90
2007-10-10,6697.30,6743.20,6697.30,6738.30,000,6738.30
2007-10-09,6634.90,6685.90,6620.80,6677.80,000,6677.80
2007-10-08,6617.30,6684.40,6617.30,6654.30,000,6654.30
2007-10-05,6574.20,6616.80,6571.90,6605.40,000,6605.40
2007-10-04,6640.30,6641.20,6551.70,6566.90,000,6566.90
2007-10-03,6642.50,6680.30,6636.10,6660.00,000,6660.00
2007-10-02,6598.10,6666.80,6597.30,6659.90,000,6659.90
2007-10-01,6567.60,6605.00,6554.60,6563.70,000,6563.70
2007-09-28,6547.60,6594.40,6547.60,6567.80,000,6567.80
2007-09-27,6487.50,6550.70,6485.50,6538.10,000,6538.10
2007-09-26,6456.20,6500.90,6453.80,6481.40,000,6481.40
2007-09-25,6456.30,6509.60,6429.60,6483.00,000,6483.00
2007-09-24,6361.00,6457.80,6361.00,6451.50,000,6451.50
2007-09-21,6386.60,6389.00,6353.90,6357.90,000,6357.90
2007-09-20,6383.80,6416.40,6357.10,6393.70,000,6393.70
2007-09-19,6237.80,6356.10,6237.80,6356.10,000,6356.10
2007-09-18,6260.70,6260.80,6166.20,6192.50,000,6192.50
2007-09-17,6296.90,6297.80,6256.30,6271.40,000,6271.40
2007-09-14,6236.70,6310.80,6236.70,6306.80,000,6306.80
2007-09-13,6229.00,6251.00,6212.40,6230.60,000,6230.60
2007-09-12,6259.40,6303.20,6217.30,6220.30,000,6220.30
2007-09-11,6193.40,6257.00,6193.40,6235.50,000,6235.50
2007-09-10,6235.90,6237.30,6146.50,6191.20,000,6191.20
2007-09-07,6265.90,6282.10,6253.80,6278.40,000,6278.40
2007-09-06,6246.50,6266.10,6189.70,6251.00,000,6251.00
2007-09-05,6303.90,6355.70,6252.00,6262.70,000,6262.70
2007-09-04,6263.60,6317.80,6261.10,6293.30,000,6293.30
2007-09-03,6253.70,6282.60,6234.50,6267.30,000,6267.30
2007-08-31,6165.80,6247.20,6135.00,6247.20,000,6247.20
2007-08-30,6127.40,6190.70,6124.70,6135.00,000,6135.00
2007-08-29,6140.60,6140.60,6031.60,6100.30,000,6100.30
2007-08-28,6178.60,6186.20,6136.70,6176.30,000,6176.30
2007-08-27,6121.10,6203.40,6119.10,6185.20,000,6185.20
2007-08-24,6143.70,6143.70,6079.40,6088.50,000,6088.50
2007-08-23,6016.10,6177.70,6016.10,6159.70,000,6159.70
2007-08-22,5984.00,6048.20,5964.90,6005.00,000,6005.00
2007-08-21,5929.50,5998.60,5873.60,5989.40,000,5989.40
2007-08-20,5675.90,5932.60,5675.90,5932.60,000,5932.60
2007-08-17,5716.50,5788.20,5637.40,5671.00,000,5671.00
2007-08-16,5783.30,5783.30,5483.30,5711.50,000,5711.50
2007-08-15,5933.60,5933.60,5788.00,5788.00,000,5788.00
2007-08-14,6012.50,6022.20,5938.70,5964.80,000,5964.80
2007-08-13,5945.20,6040.40,5945.20,6011.60,000,6011.60
2007-08-10,6110.80,6111.50,5936.00,5936.00,000,5936.00
2007-08-09,6115.00,6165.60,6112.20,6165.60,000,6165.60
2007-08-08,5999.00,6105.00,5998.80,6100.80,000,6100.80
2007-08-07,5943.00,6015.10,5942.00,5985.00,000,5985.00
2007-08-06,6016.10,6016.10,5891.10,5920.20,000,5920.20
2007-08-03,6026.70,6061.00,5980.80,6021.00,000,6021.00
2007-08-02,5969.10,6059.20,5903.20,6011.80,000,6011.80
2007-08-01,6138.60,6138.60,5941.20,5941.20,000,5941.20
2007-07-31,6120.70,6145.40,6103.00,6144.20,000,6144.20
2007-07-30,6081.50,6109.20,6044.30,6108.80,000,6108.80
2007-07-27,6254.00,6254.00,6082.90,6082.90,000,6082.90
2007-07-26,6344.40,6351.80,6258.50,6258.50,000,6258.50
2007-07-25,6396.00,6396.10,6334.50,6340.50,000,6340.50
2007-07-24,6398.50,6432.20,6398.50,6422.30,000,6422.30
2007-07-23,6412.80,6412.80,6359.40,6390.40,000,6390.40
2007-07-20,6387.00,6422.30,6387.00,6421.80,000,6421.80
2007-07-19,6333.60,6385.90,6333.60,6384.20,000,6384.20
2007-07-18,6372.10,6372.10,6326.40,6329.10,000,6329.10
2007-07-17,6385.50,6391.50,6368.80,6381.60,000,6381.60
2007-07-16,6390.00,6415.10,6377.80,6380.80,000,6380.80
2007-07-13,6390.10,6436.70,6389.40,6389.40,000,6389.40
2007-07-12,6335.90,6365.80,6328.60,6363.40,000,6363.40
2007-07-11,6357.90,6357.90,6300.80,6325.10,000,6325.10
2007-07-10,6402.60,6403.00,6359.80,6361.50,000,6361.50
2007-07-09,6353.00,6400.60,6353.00,6400.60,000,6400.60
2007-07-06,6361.80,6361.80,6318.50,6351.10,000,6351.10
2007-07-05,6300.60,6362.30,6300.60,6362.30,000,6362.30
2007-07-04,6306.40,6320.00,6290.80,6298.60,000,6298.60
2007-07-03,6282.10,6319.30,6279.30,6299.00,000,6299.00
2007-07-02,6282.00,6290.70,6254.60,6263.30,000,6263.30
2007-06-29,6271.40,6293.10,6243.50,6274.90,000,6274.90
2007-06-28,6200.10,6265.70,6200.10,6265.60,000,6265.60
2007-06-27,6300.10,6302.20,6184.20,6184.20,000,6184.20
2007-06-26,6329.90,6347.00,6303.70,6308.60,000,6308.60
2007-06-25,6378.80,6378.80,6315.00,6329.80,000,6329.80
2007-06-22,6391.40,6391.60,6349.00,6382.60,000,6382.60
2007-06-21,6393.50,6393.50,6361.70,6387.00,000,6387.00
2007-06-20,6367.70,6403.90,6348.70,6396.90,000,6396.90
2007-06-19,6339.80,6381.60,6316.00,6372.00,000,6372.00
2007-06-18,6304.00,6355.80,6304.00,6343.40,000,6343.40
2007-06-15,6272.50,6298.50,6268.00,6293.80,000,6293.80
2007-06-14,6212.80,6263.10,6212.30,6261.20,000,6261.20
2007-06-13,6224.30,6225.40,6170.20,6180.70,000,6180.70
2007-06-12,6249.30,6294.90,6235.90,6240.10,000,6240.10
2007-06-08,6300.00,6300.00,6199.30,6231.70,000,6231.70
2007-06-07,6318.50,6318.50,6258.30,6311.10,000,6311.10
2007-06-06,6368.80,6376.00,6315.20,6337.10,000,6337.10
2007-06-05,6393.50,6395.90,6369.10,6370.80,000,6370.80
2007-06-04,6346.40,6409.20,6346.40,6392.90,000,6392.90
2007-06-01,6321.00,6352.50,6313.80,6333.50,000,6333.50
2007-05-31,6260.90,6342.50,6260.90,6313.50,000,6313.50
2007-05-30,6317.00,6317.00,6231.00,6243.40,000,6243.40
2007-05-29,6251.60,6318.30,6242.00,6317.60,000,6317.60
2007-05-28,6264.50,6293.90,6237.80,6251.40,000,6251.40
2007-05-25,6272.90,6272.90,6226.40,6252.80,000,6252.80
2007-05-24,6351.10,6351.10,6277.90,6279.10,000,6279.10
2007-05-23,6330.80,6378.30,6321.40,6355.10,000,6355.10
2007-05-22,6368.40,6384.10,6330.30,6338.80,000,6338.80
2007-05-21,6318.70,6384.10,6318.70,6369.00,000,6369.00
2007-05-18,6352.20,6356.90,6300.10,6312.50,000,6312.50
2007-05-17,6303.20,6365.90,6303.20,6365.90,000,6365.90
2007-05-16,6298.70,6314.30,6267.30,6294.60,000,6294.60
2007-05-15,6331.40,6335.30,6282.10,6291.20,000,6291.20
2007-05-14,6307.60,6360.30,6307.60,6345.10,000,6345.10
2007-05-11,6334.70,6334.70,6280.50,6297.40,000,6297.40
2007-05-10,6350.30,6355.50,6312.10,6355.50,000,6355.50
2007-05-09,6297.90,6382.70,6283.60,6341.00,000,6341.00
2007-05-08,6340.40,6341.10,6291.00,6304.40,000,6304.40
2007-05-07,6320.00,6338.20,6294.30,6335.70,000,6335.70
2007-05-04,6255.80,6304.90,6255.80,6304.90,000,6304.90
2007-05-03,6244.60,6258.10,6224.20,6245.60,000,6245.60
2007-05-02,6155.20,6239.80,6154.90,6237.70,000,6237.70
2007-05-01,6163.20,6172.20,6134.20,6145.80,000,6145.80
2007-04-30,6157.30,6205.90,6157.30,6166.00,000,6166.00
2007-04-27,6201.80,6201.80,6144.20,6151.60,000,6151.60
2007-04-26,6195.50,6227.30,6195.50,6212.20,000,6212.20
2007-04-24,6210.00,6232.50,6177.30,6188.20,000,6188.20
2007-04-23,6218.40,6252.30,6165.60,6209.10,000,6209.10
2007-04-20,6168.90,6211.00,6168.90,6207.50,000,6207.50
2007-04-19,6229.20,6229.20,6159.40,6165.10,000,6165.10
2007-04-18,6192.50,6265.20,6191.30,6236.90,000,6236.90
2007-04-17,6202.30,6237.70,6169.50,6186.50,000,6186.50
2007-04-16,6146.60,6206.30,6146.30,6197.70,000,6197.70
2007-04-13,6167.40,6195.80,6125.30,6135.80,000,6135.80
2007-04-12,6147.80,6167.90,6129.10,6158.20,000,6158.20
2007-04-11,6160.50,6176.90,6142.10,6151.40,000,6151.40
2007-04-10,6083.20,6155.20,6083.20,6153.00,000,6153.00
2007-04-09,6093.80,6093.80,6064.60,6077.10,000,6077.10
2007-04-06,6093.80,6093.80,6064.60,6077.10,000,6077.10
2007-04-05,6093.80,6093.80,6064.60,6077.10,000,6077.10
2007-04-04,6027.60,6097.20,6027.60,6097.20,000,6097.20
2007-04-03,5929.90,6013.40,5929.50,6013.40,000,6013.40
2007-04-02,5994.00,5994.00,5915.80,5915.80,000,5915.80
2007-03-30,5968.20,5998.90,5968.10,5995.00,000,5995.00
2007-03-29,5919.30,5960.90,5905.30,5960.90,000,5960.90
2007-03-28,5958.80,5979.20,5917.30,5923.20,000,5923.20
2007-03-27,5986.30,5988.60,5963.60,5964.20,000,5964.20
2007-03-26,5958.80,5992.00,5957.90,5990.70,000,5990.70
2007-03-23,5954.20,5968.10,5938.60,5952.30,000,5952.30
2007-03-22,5879.00,5955.70,5879.00,5955.70,000,5955.70
2007-03-21,5883.00,5906.70,5860.30,5861.90,000,5861.90
2007-03-20,5871.50,5922.20,5871.50,5876.60,000,5876.60
2007-03-19,5838.30,5875.00,5818.60,5859.70,000,5859.70
2007-03-16,5861.90,5874.50,5814.60,5836.30,000,5836.30
2007-03-15,5769.70,5857.10,5764.30,5853.00,000,5853.00
2007-03-14,5837.20,5837.20,5741.90,5741.90,000,5741.90
2007-03-13,5893.30,5917.70,5860.90,5865.00,000,5865.00
2007-03-12,5828.00,5891.00,5820.30,5891.00,000,5891.00
2007-03-09,5827.50,5852.60,5820.60,5830.20,000,5830.20
2007-03-08,5820.20,5827.00,5774.60,5822.30,000,5822.30
2007-03-07,5777.90,5830.10,5777.90,5825.30,000,5825.30
2007-03-06,5657.20,5771.80,5641.10,5771.80,000,5771.80
2007-03-05,5772.00,5772.00,5653.60,5653.60,000,5653.60
2007-03-02,5804.70,5825.80,5780.90,5786.00,000,5786.00
2007-03-01,5840.60,5858.50,5797.30,5810.20,000,5810.20
2007-02-28,5992.60,5992.60,5786.80,5832.50,000,5832.50
2007-02-27,6043.30,6043.30,5993.80,5993.80,000,5993.80
2007-02-26,6036.50,6044.00,6008.00,6044.00,000,6044.00
2007-02-23,6019.60,6052.10,6019.10,6036.10,000,6036.10
2007-02-22,5953.40,6017.10,5952.60,6017.10,000,6017.10
2007-02-21,5981.50,5991.80,5951.00,5951.80,000,5951.80
2007-02-20,5995.20,6003.30,5979.90,5989.70,000,5989.70
2007-02-19,5956.90,6003.20,5950.50,5990.10,000,5990.10
2007-02-16,5993.20,5994.40,5940.40,5953.70,000,5953.70
2007-02-15,5969.60,6000.00,5968.60,5992.80,000,5992.80
2007-02-14,5947.80,5975.90,5947.80,5960.50,000,5960.50
2007-02-13,5921.60,5947.30,5911.30,5936.60,000,5936.60
2007-02-12,5921.60,5934.70,5905.40,5924.10,000,5924.10
2007-02-09,5905.60,5927.20,5894.70,5927.20,000,5927.20
2007-02-08,5902.30,5909.40,5884.60,5899.50,000,5899.50
2007-02-07,5901.90,5909.90,5879.70,5899.80,000,5899.80
2007-02-06,5828.60,5871.50,5828.60,5870.50,000,5870.50
2007-02-05,5827.70,5829.50,5801.40,5822.10,000,5822.10
2007-02-02,5828.50,5841.30,5816.80,5831.50,000,5831.50
2007-02-01,5781.30,5816.20,5781.30,5814.10,000,5814.10
2007-01-31,5819.20,5829.30,5773.40,5773.40,000,5773.40
2007-01-30,5756.50,5813.00,5756.10,5812.50,000,5812.50
2007-01-29,5772.60,5777.30,5752.60,5760.40,000,5760.40
2007-01-26,5781.60,5802.10,5769.90,5769.90,000,5769.90
2007-01-25,5781.60,5802.10,5769.90,5769.90,000,5769.90
2007-01-24,5750.00,5776.10,5742.20,5768.80,000,5768.80
2007-01-23,5723.30,5738.30,5702.70,5735.00,000,5735.00
2007-01-22,5688.50,5739.80,5688.50,5726.60,000,5726.60
2007-01-19,5669.40,5673.10,5641.50,5673.10,000,5673.10
2007-01-18,5655.20,5679.50,5650.90,5672.40,000,5672.40
2007-01-17,5665.50,5670.30,5645.20,5646.10,000,5646.10
2007-01-16,5671.90,5705.40,5665.30,5673.40,000,5673.40
2007-01-15,5642.80,5673.80,5633.20,5673.80,000,5673.80
2007-01-12,5578.20,5638.80,5578.20,5638.80,000,5638.80
2007-01-11,5533.10,5573.40,5528.40,5564.90,000,5564.90
2007-01-10,5583.10,5583.10,5520.90,5520.90,000,5520.90
2007-01-09,5517.70,5590.40,5516.30,5589.70,000,5589.70
2007-01-08,5561.10,5562.60,5499.00,5502.00,000,5502.00
2007-01-05,5580.00,5612.00,5565.20,5572.00,000,5572.00
2007-01-04,5634.30,5635.20,5584.80,5584.80,000,5584.80
2007-01-03,5681.70,5698.20,5643.70,5649.40,000,5649.40
2007-01-02,5672.70,5690.70,5670.10,5670.20,000,5670.20
2006-12-29,5658.90,5684.40,5657.10,5669.90,000,5669.90
2006-12-28,5650.20,5673.70,5650.20,5660.50,000,5660.50
2006-12-27,5601.60,5643.20,5600.80,5643.20,000,5643.20
2006-12-22,5578.60,5603.70,5557.10,5603.70,000,5603.70
